MEU1;MEU3;MEU12;FEU1;FEU3;FEU12
0,830092432;0,96380547;1,005808366;1,232809929;1,195269806;1,059723571
0,800485756;0,939635505;0,995991052;1,150333893;1,137822266;1,045603587
0,783370764;0,92204553;0,98680119;1,088467735;1,093511039;1,034255997
0,770062488;0,903578222;0,973751671;1,056114634;1,068877038;1,026774851
0,766115584;0,891239289;0,963125957;1,025705441;1,046058015;1,019881478
0,757095399;0,881535631;0,956626575;1,006152393;1,030855084;1,014994601
0,724225443;0,853545264;0,942549849;0,982691783;1,012078851;1,008593978
0,692704752;0,825240105;0,929100944;0,965682575;0,999055922;1,004434264
0,66952158;0,805206773;0,920640105;0,957451162;0,992595035;1,002071034
0,655236032;0,792811707;0,91494838;0,959850525;0,993163846;1,000792866
0,663093463;0,796649936;0,91368162;0,988839432;1,012885976;1,004361364
0,661770642;0,795713848;0,91288012;1,057500897;1,058828087;1,013632532
0,640891433;0,775964489;0,903270191;0,959161415;0,988786402;0,995834355
0,623786703;0,758007511;0,89378815;0,884347516;0,933699149;0,981020756
0,619791439;0,750992278;0,888114282;0,840735331;0,899404761;0,970526405
0,616102539;0,747046491;0,883898469;0,815251711;0,878347203;0,963466541
0,604010189;0,736625322;0,877661115;0,793810454;0,861708532;0,957898656
0,59556164;0,728084782;0,873529273;0,768299878;0,841561659;0,951378678
0,599145196;0,728981486;0,872331219;0,758584752;0,832898016;0,947951591
0,611149911;0,73842782;0,876352815;0,75447488;0,829874506;0,946585385
0,625509541;0,752356861;0,880813975;0,76642861;0,838456529;0,948276786
0,636211455;0,760800109;0,882163634;0,782939832;0,849497762;0,950603921
0,633797487;0,75955439;0,881261386;0,796401478;0,861538493;0,954280069
0,637331983;0,760527166;0,880176289;0,768432415;0,841413999;0,949981791
0,632821714;0,757938004;0,878753185;0,739088812;0,818461995;0,943114184
0,61084855;0,738875324;0,871286678;0,720615636;0,804060454;0,9389015
0,582164436;0,715014758;0,862405147;0,717745942;0,801580992;0,937986259
0,572731677;0,706291953;0,85986731;0,727716143;0,808870669;0,939972853
0,566948262;0,700154881;0,856523257;0,746890492;0,824134525;0,944461102
0,568801728;0,699726098;0,855755998;0,742171504;0,820969662;0,944074908
0,569413672;0,701154742;0,857910393;0,745188723;0,823850264;0,945473561
0,580670995;0,708884826;0,858748803;0,756885994;0,833765652;0,948823079
0,593754713;0,721527354;0,863056561;0,787833201;0,858058876;0,956037547
0,605192916;0,732923753;0,867614552;0,817356807;0,880122049;0,961900383
0,631340656;0,754610797;0,875621295;0,81111828;0,877091588;0,962656082
0,666134575;0,783689397;0,888270876;0,829646538;0,892097155;0,967881884
0,655793352;0,781695559;0,891804123;0,835643902;0,896708604;0,969285178
0,651619614;0,779938081;0,89298048;0,860255501;0,915456003;0,974582215
0,639154075;0,771481599;0,893211102;0,884224229;0,934282158;0,980608605
0,621483137;0,758929232;0,892283218;0,885500694;0,935829618;0,981454745
0,610480131;0,751718984;0,893004388;0,902241333;0,949044428;0,985543627
0,611438832;0,754621841;0,89728927;0,945175968;0,981252377;0,994343968
0,605455301;0,752911368;0,900792037;0,992854872;1,015861445;1,00337822
0,607321412;0,756124766;0,904780282;1,05473282;1,060430355;1,014932163
0,612953942;0,764577402;0,910446579;1,164026832;1,134865662;1,032119151
0,622633517;0,772849149;0,916994608;1,078942452;1,077592804;1,019542879
0,630517271;0,777807682;0,919015622;1,017643833;1,034682526;1,009366683
0,654933146;0,797813439;0,927170734;0,999060498;1,020715368;1,005440501
0,670315393;0,812723712;0,935875919;0,976223969;1,004294345;1,001411169
0,696134146;0,835575151;0,948541101;0,965392797;0,996103289;0,999267792
0,742376496;0,87055334;0,965522159;0,92215041;0,964955478;0,991655633
0,738118874;0,874801527;0,976032521;0,909319629;0,955526796;0,989459291
0,723229539;0,866693235;0,979574412;0,919609938;0,963389062;0,991818859
0,727385399;0,871696257;0,987042337;0,928343786;0,970669234;0,994303414
0,743238299;0,887787084;0,999981518;0,966430914;0,999071938;1,002148572
0,753372411;0,903932853;1,016750123;0,997544128;1,022124288;1,008479617
0,767091111;0,925844223;1,037124105;1,060735443;1,067072101;1,019830238
0,779327661;0,943362265;1,051959954;1,064041342;1,071014489;1,022149498
0,793816245;0,962510595;1,066811298;1,055080242;1,065658094;1,021673543
0,833149458;1,001687046;1,088642265;1,080521561;1,083750365;1,026341786
0,882068471;1,051998053;1,117519966;1,114408707;1,106960112;1,031760297
0,94126817;1,109974988;1,148182947;1,176145004;1,147894102;1,040609275
0,996682737;1,165928053;1,177292157;1,102513155;1,09855777;1,029846021
0,987862583;1,162955695;1,179261928;1,037798882;1,053490477;1,019193585
0,95260017;1,12667412;1,159123463;0,987884449;1,01769053;1,010530474
0,937191399;1,109201561;1,147654201;0,970696522;1,004631572;1,007215658
0,923170934;1,095409698;1,141178854;0,922826069;0,969771235;0,998459202
0,895932646;1,068832142;1,129501589;0,897550206;0,95094327;0,993759509
0,878294989;1,051252911;1,122454286;0,891136254;0,946311588;0,992911481
0,864149358;1,040942766;1,12087811;0,904954573;0,956389411;0,995815903
0,861819104;1,040699035;1,123659138;0,886022309;0,942108188;0,991279529
0,860422204;1,042080549;1,127468591;0,868476667;0,928567924;0,987127714
0,856454139;1,038801609;1,128141475;0,860076259;0,921374379;0,983909277
0,850972651;1,030366743;1,1211542;0,870075092;0,928042736;0,984536256
0,854716183;1,030617145;1,120967893;0,846416104;0,910788884;0,980190224
0,854078563;1,030807223;1,122744955;0,84039338;0,90628195;0,978975773
0,855812794;1,034532816;1,12602359;0,851396713;0,914638215;0,981345883
0,850104345;1,026164435;1,118424072;0,875240622;0,932529057;0,985983352
0,842858026;1,021340844;1,113624518;0,910867457;0,958682562;0,992676403
0,853623234;1,029456064;1,113581007;0,91520549;0,962437248;0,993816757
0,850307568;1,026682923;1,108936187;0,901759873;0,952786439;0,991734042
0,850513321;1,026687626;1,107454194;0,870334731;0,929376606;0,985540673
0,858045369;1,025072439;1,09843844;0,854877192;0,917527289;0,982279117
0,886089589;1,039819807;1,096282735;0,850525208;0,91358123;0,980914395
0,893347752;1,045207815;1,095533642;0,849295956;0,912968677;0,981211554
0,853248163;1,015619389;1,085485064;0,846060397;0,910612526;0,980537221
0,835764564;0,996967954;1,077123699;0,86218986;0,922763011;0,983746099
0,826879501;0,985824059;1,070060593;0,881448437;0,937070889;0,987548223
0,820221603;0,979243419;1,066734805;0,895288774;0,948198799;0,990984337
0,809185987;0,969478435;1,059832487;0,929751969;0,974442409;0,998256808
0,791460837;0,955251793;1,049687541;0,989424427;1,01785464;1,009213041
0,780259038;0,940833041;1,037716335;0,991222149;1,018768971;1,00890128
0,780738825;0,935074431;1,027770472;1,027895503;1,043792922;1,014187532
0,769809884;0,918340591;1,012459887;0,972875049;1,003074584;1,003037724
0,776457434;0,916987063;1,00351606;0,924583556;0,966814248;0,992916979
0,791745824;0,923152452;0,998204305;0,90449707;0,950629157;0,987630073
0,764875482;0,899231006;0,984877286;0,887921913;0,937446485;0,983300095
0,743350229;0,878406018;0,972721595;0,876794952;0,928832626;0,980673274
0,724374647;0,860121895;0,961788923;0,87429958;0,926440152;0,979833849
0,697162973;0,834892857;0,948495079;0,854010084;0,910546198;0,975303923
0,689110913;0,825461939;0,942093519;0,839085239;0,899041394;0,972069867
0,675640427;0,811843618;0,932932306;0,830528309;0,892717323;0,970330564
0,664839119;0,799774159;0,925100124;0,820286424;0,88465503;0,96762234
0,663979497;0,795703384;0,920879639;0,82051625;0,884603452;0,967314003
0,641085468;0,775651866;0,911222839;0,83214548;0,893469409;0,969773516
0,625610363;0,762694317;0,905270952;0,826443081;0,88965582;0,968907213
0,630050406;0,765074764;0,904768203;0,822506957;0,886905832;0,968354509
0,643911619;0,775816327;0,908423277;0,829417388;0,892923727;0,970424274
0,640996856;0,772684535;0,906746401;0,847108937;0,905924356;0,973276548
0,624465755;0,759986981;0,904017695;0,836692436;0,898558626;0,971285568
0,611871959;0,750013933;0,901818413;0,846870651;0,906156462;0,973108447
0,61655453;0,755429828;0,9074515;0,876189826;0,928099725;0,978906026
0,616260016;0,75601693;0,909698115;0,883939039;0,934650059;0,981514099
0,619574533;0,759753619;0,913726499;0,907479095;0,952215193;0,986260368
0,625186088;0,765490348;0,918378316;0,937239286;0,974143313;0,992105538
0,63000619;0,768080016;0,919525987;0,882027692;0,933245849;0,981411987
0,632500441;0,770400221;0,92358461;0,848192908;0,906939122;0,97377971
0,630195044;0,77124715;0,926952217;0,834028963;0,895834445;0,970323634
0,62731485;0,770421551;0,927673917;0,832113617;0,894705048;0,969604713
0,631681262;0,774319261;0,929134151;0,853017422;0,910326458;0,973325788
0,636189086;0,778472295;0,931978679;0,806326516;0,87493135;0,963567188
0,639852411;0,782281158;0,934627252;0,782537622;0,856566968;0,958302542
0,64493583;0,785895873;0,93649369;0,767831665;0,84506852;0,954812428
0,628441683;0,772450405;0,929390654;0,767445947;0,844403644;0,954274328
0,619665069;0,764438043;0,924461773;0,75681177;0,835677281;0,951340663
0,617433417;0,760324569;0,919595025;0,761929614;0,839547534;0,952378932
0,612753704;0,756486435;0,91524529;0,777892775;0,852262436;0,956145523
0,621749331;0,763218024;0,914960635;0,812014532;0,878817994;0,963751185
0,629180244;0,770954683;0,919539205;0,825524969;0,889300158;0,967050615
0,636967391;0,779191015;0,924357265;0,838329067;0,899177793;0,970162347
0,650895052;0,792553691;0,932509648;0,834050314;0,896906247;0,970632787
0,668326473;0,809624129;0,940404476;0,843935594;0,904809672;0,973456244
0,692637774;0,832810396;0,952103372;0,877738904;0,930273407;0,980671091
0,695044666;0,832651019;0,9499756;0,879808333;0,932364033;0,982095499
0,681975318;0,821442918;0,944172545;0,884728147;0,937068891;0,984730034
0,675287749;0,815792846;0,940081545;0,907086717;0,954602757;0,990357759
0,668748688;0,807652028;0,933733217;0,93677294;0,977772089;0,997766297
0,658215013;0,798481486;0,928906334;0,995313522;1,021286594;1,009918199
0,653372587;0,794423609;0,926018588;1,012561874;1,035353024;1,015006249
0,65714414;0,796216481;0,922975048;1,033350751;1,051508953;1,020321843
0,652572273;0,7914459;0,919928856;1,008105412;1,033407715;1,016278768
0,658125802;0,796397147;0,921859631;0,994031371;1,022800994;1,013631794
0,677561506;0,814396943;0,931450799;1,008007837;1,033408129;1,016653611
0,690492412;0,826518419;0,936104344;1,044533709;1,059790239;1,023511927
0,675408645;0,81215764;0,929645357;0,999543493;1,027465764;1,015882287
0,642181011;0,781781626;0,91599105;0,967466991;1,004367352;1,010495396
0,629516321;0,767452704;0,908607878;0,964030722;1,00198493;1,010147106
0,612261004;0,752807013;0,901870891;0,967991984;1,00600978;1,012236802
0,602247017;0,744739195;0,89804384;1,00206096;1,031878499;1,019703433
0,598719477;0,742223024;0,896479314;1,057582643;1,073073092;1,030893081
0,604918506;0,747795093;0,898910039;1,142610712;1,134357287;1,046476783
0,61744854;0,758724594;0,903070179;1,278024433;1,228243805;1,068642426
0,635485227;0,776354507;0,909806396;1,49879415;1,371681299;1,09893263
0,63196224;0,775272082;0,914615156;1,298455337;1,241596169;1,071279652
0,63303108;0,773325933;0,913417972;1,172034834;1,153197754;1,04936371
0,631705039;0,772123203;0,913407695;1,074029845;1,081041655;1,029377001
0,617974485;0,759160999;0,906574574;1,008009676;1,028493756;1,012747772
0,59896084;0,741815245;0,899028529;0,929895411;0,970848747;0,996260111
0,59027141;0,733312316;0,895456667;0,87686994;0,929759247;0,983196848
0,5834122;0,725444142;0,891015822;0,847659729;0,906661462;0,974915076
0,581894359;0,723488716;0,88997184;0,839188772;0,89868176;0,970745341
0,579482375;0,718260391;0,88577365;0,804586618;0,871584665;0,962359331
0,577254837;0,714770334;0,88370703;0,780834247;0,852895884;0,956314491
0,577692524;0,714616074;0,882936677;0,766705205;0,841312057;0,952116023
0,578086289;0,715622982;0,884188587;0,758133489;0,833285531;0,948580839
0,582882679;0,720648814;0,886680809;0,758841614;0,833041315;0,947665765
0,600164369;0,734790714;0,891446393;0,755512875;0,830230962;0,946727028
0,627035997;0,756501588;0,896335542;0,758278945;0,832132306;0,947666575
0,633761899;0,76375151;0,90007351;0,750346039;0,824956143;0,945510625
0,629402105;0,762559513;0,902370861;0,74675855;0,823901772;0,945650399
0,629205482;0,765647103;0,906169774;0,754814;0,830455772;0,947704796
0,637176003;0,774416161;0,912696313;0,763491201;0,836483273;0,949438588
0,634020881;0,773336757;0,913142521;0,772080641;0,844819407;0,95263306
0,640064143;0,777448902;0,913460699;0,792443105;0,861683023;0,958260642
0,640829881;0,777662637;0,911836062;0,790390482;0,86012572;0,957539876
0,62426638;0,764093394;0,904304916;0,804972791;0,871184435;0,960471129
0,622071625;0,760942371;0,899368314;0,837529517;0,89532962;0,966751512
0,626711363;0,76372175;0,898383307;0,841129542;0,899167936;0,968888984
0,654437644;0,784625137;0,904057324;0,867461257;0,920298874;0,975600428
0,6907641;0,813891036;0,914306758;0,920787639;0,960375645;0,986653453
0,679915007;0,80991144;0,915281231;0,906510614;0,950692183;0,985203479
0,664606402;0,798757141;0,913460209;0,91223546;0,956181256;0,987939865
0,656789549;0,793247883;0,912120702;0,94369244;0,979754758;0,994810515
0,651348526;0,788242796;0,909915209;0,9775865;1,005884356;1,002831957
0,646266391;0,786497916;0,912211602;0,986816731;1,013559304;1,005181514
0,649975561;0,793690192;0,91941445;1,027336463;1,04261724;1,012187107
0,665705913;0,808987327;0,927461199;1,096545913;1,090812082;1,02331108
0,659344216;0,804678161;0,927064997;1,073515588;1,074221219;1,019010934
0,668091916;0,811729839;0,930509767;1,035306576;1,047635392;1,012604905
0,682867649;0,825682829;0,936578818;1,011193881;1,030061284;1,007964637
0,680554293;0,820802804;0,933988331;0,976908148;1,004670983;1,001035689
0,680657789;0,818605827;0,932369453;0,973379074;1,001086991;0,999290504
0,668052542;0,80754334;0,92886924;0,960424898;0,990903496;0,995999857
0,648272993;0,787509898;0,919563383;0,914125215;0,956536432;0,986844306
0,638702205;0,772815976;0,907485111;0,883375377;0,93372497;0,980828298
0,625458457;0,756699279;0,895426006;0,878301199;0,929448341;0,979387433
0,61759071;0,746569516;0,888444589;0,877256271;0,928606941;0,979196862
0,603086111;0,733474817;0,881930288;0,858746692;0,914711765;0,975526112
0,589462872;0,723786843;0,878352745;0,841319489;0,901685002;0,972164756
0,586588343;0,720330747;0,875256104;0,842833046;0,902568105;0,972436323
0,576556097;0,715498965;0,875891922;0,859855443;0,91536964;0,975979963
0,577418831;0,718376208;0,87842588;0,89305693;0,940597485;0,982952452
0,585415677;0,72593965;0,881841119;0,917082011;0,958477393;0,987855223
0,588098291;0,728360341;0,88256134;0,883176701;0,931361613;0,97907796
0,587717055;0,727377797;0,882756769;0,83988783;0,898172428;0,969404111
0,580758511;0,719931462;0,880148932;0,809176616;0,874259287;0,961938349
0,581537042;0,71780382;0,877295341;0,788777566;0,857793627;0,956211274
0,574708441;0,709428497;0,871879629;0,769549738;0,842660142;0,950889742
0,571128526;0,706214384;0,869973786;0,769750243;0,842196822;0,949673448
0,573760862;0,707416708;0,870586479;0,75761375;0,832710628;0,946517476
0,572578531;0,70584985;0,869567347;0,748087661;0,824874937;0,943733477
0,578612023;0,70998151;0,871206943;0,731736312;0,811906275;0,939713372
0,586294881;0,715608474;0,874261629;0,728461579;0,808820664;0,938313093
0,579726237;0,709052376;0,870942721;0,736655855;0,814360233;0,939163328
0,589033149;0,707977376;0,865832399;0,724909706;0,80472862;0,93594386
0,588928387;0,706017803;0,861708108;0,720466757;0,80086248;0,934492107
0,574246314;0,699198376;0,859518757;0,717896284;0,79858006;0,933836685
0,568700348;0,696375309;0,857265805;0,715561455;0,796455567;0,932885066
0,563574498;0,691019756;0,852347732;0,715944926;0,797084652;0,933393796
0,556975952;0,684908788;0,847419099;0,703510445;0,787650366;0,930750646
0,545147574;0,675740586;0,843960931;0,688955706;0,77637869;0,927441899
0,534927731;0,667501421;0,84097179;0,681328926;0,770312548;0,92536729
0,535028806;0,667759708;0,842310651;0,683349894;0,771984166;0,925621652
0,543897576;0,673781028;0,844823384;0,68091974;0,770047329;0,924919478
0,550890665;0,680685046;0,849046677;0,688267254;0,775649697;0,926287151
0,550569748;0,680366348;0,850534013;0,697690065;0,782828338;0,927903691
0,574585295;0,694494085;0,854923845;0,700160065;0,784758099;0,928310722
0,582256307;0,703589227;0,860462836;0,703014313;0,787244521;0,929294439
0,57705898;0,704205067;0,863916706;0,710066868;0,793094231;0,931284549
0,575275882;0,706116003;0,867703544;0,722745951;0,802454006;0,933444681
0,560372197;0,695058806;0,86487909;0,701340349;0,786246363;0,929162488
0,555454501;0,691245005;0,863254612;0,695543526;0,781957288;0,92814868
0,549781653;0,686227901;0,859813919;0,697171182;0,78349323;0,928967482
0,549158581;0,685903028;0,859643633;0,69294993;0,780101476;0,928063882
0,549017985;0,686431112;0,860867441;0,696541017;0,782711974;0,928862574
0,549244441;0,685651924;0,86060235;0,6931452;0,779856028;0,927949031
0,551032496;0,687610811;0,862399036;0,692698988;0,77886871;0,927151038
0,547865457;0,686570192;0,862757244;0,703259179;0,786378593;0,928613056
0,553835733;0,691864505;0,865502142;0,687149602;0,773135186;0,924279355
0,559603216;0,696983102;0,867874215;0,677875897;0,765926629;0,922174121
0,569783675;0,705376326;0,870713497;0,674376586;0,763262734;0,92143531
0,568437369;0,702856136;0,869258343;0,664610666;0,75569421;0,919325523
0,57257985;0,704535974;0,869077102;0,664796371;0,755750263;0,919201485
0,570928641;0,704140249;0,867358756;0,671042961;0,760823048;0,920812015
0,561755465;0,697381767;0,864338206;0,685104547;0,771302683;0,923435826
0,55880724;0,695501936;0,862452104;0,695277466;0,778348648;0,92509459
0,561454201;0,697717088;0,862775726;0,691369185;0,776396143;0,925108041
0,552356258;0,690786335;0,859382419;0,699876585;0,783537995;0,927597804
0,556164627;0,694963907;0,859940951;0,715133776;0,795393238;0,93083032
0,567143881;0,703510338;0,862262916;0,709541287;0,7919961;0,930762937
0,57806418;0,713652476;0,866791767;0,695065896;0,780925817;0,928094411
0,6004658;0,733410144;0,875385925;0,69073261;0,777644283;0,92746387
0,613658663;0,742541757;0,87875141;0,696586804;0,782292352;0,929181887
0,600333265;0,731875263;0,875475476;0,710077161;0,793457464;0,933316622
0,581439076;0,71604672;0,86851031;0,73497814;0,812772093;0,939393383
0,565699847;0,702482489;0,863209662;0,758189283;0,831239748;0,945504255
0,555721551;0,694146738;0,858699495;0,790957508;0,857148214;0,953822046
0,550986682;0,689653258;0,855586074;0,829057038;0,887287789;0,963612263
0,549200019;0,685974644;0,853147715;0,820261065;0,88180273;0,963544314
0,546520984;0,68356792;0,853037844;0,804246804;0,871263569;0,962685301
0,547928177;0,684375941;0,853612082;0,801564806;0,87001175;0,963656054
0,5481938;0,683797047;0,854342334;0,80757125;0,875522801;0,966339629
0,547151724;0,682759326;0,853244208;0,804416774;0,873812994;0,966819199
0,547343936;0,682707422;0,852727846;0,816556695;0,88339795;0,97014263
0,549673232;0,685127883;0,853807871;0,82983492;0,894274589;0,974007774
0,544327059;0,68055429;0,850139749;0,854734653;0,913560498;0,979746648
0,547268729;0,681676669;0,848482634;0,869646028;0,92531724;0,983282525
0,544863663;0,680752405;0,848677196;0,901264801;0,948791041;0,989390047
0,545557721;0,6799434;0,848374179;0,892195742;0,94313508;0,988924252
0,551759662;0,684634205;0,849269591;0,899994269;0,949824992;0,991854087
0,562038579;0,692179612;0,850626532;0,901034285;0,950987891;0,992691014
0,55581617;0,687578196;0,848836181;0,913727607;0,959992396;0,994899507
0,553938885;0,68618049;0,848252432;0,906966518;0,955506128;0,994414477
0,555409789;0,687473015;0,84994676;0,887909934;0,941557808;0,991140906
0,557884081;0,689953306;0,851477796;0,886871291;0,940695876;0,991038904
0,56542828;0,695834498;0,852383517;0,900303414;0,950832365;0,993782101
0,565697219;0,696562131;0,851614896;0,931195958;0,974078905;1,000092681
