"YW_L1";"YW_L2";"YW_L3";"YW_L4";"YW_L5";"YW_L6";"YW_L7";"YW_L8";"YW_L9";"YW_L10";"YW_L11"
10,103898553;15,388504544;9,255794004;4,605220694;6,726731399;0,451275354;-12,568260765;-11,316053556;3,987567055;0,583402231;-12,080032119
3,349525917;10,103898553;15,388504544;9,255794004;4,605220694;6,726731399;0,451275354;-12,568260765;-11,316053556;3,987567055;0,583402231
3,740791915;3,349525917;10,103898553;15,388504544;9,255794004;4,605220694;6,726731399;0,451275354;-12,568260765;-11,316053556;3,987567055
3,606750542;3,740791915;3,349525917;10,103898553;15,388504544;9,255794004;4,605220694;6,726731399;0,451275354;-12,568260765;-11,316053556
-1,899730046;3,606750542;3,740791915;3,349525917;10,103898553;15,388504544;9,255794004;4,605220694;6,726731399;0,451275354;-12,568260765
-3,934032912;-1,899730046;3,606750542;3,740791915;3,349525917;10,103898553;15,388504544;9,255794004;4,605220694;6,726731399;0,451275354
4,539407163;-3,934032912;-1,899730046;3,606750542;3,740791915;3,349525917;10,103898553;15,388504544;9,255794004;4,605220694;6,726731399
12,392965241;4,539407163;-3,934032912;-1,899730046;3,606750542;3,740791915;3,349525917;10,103898553;15,388504544;9,255794004;4,605220694
11,55464364;12,392965241;4,539407163;-3,934032912;-1,899730046;3,606750542;3,740791915;3,349525917;10,103898553;15,388504544;9,255794004
8,250793346;11,55464364;12,392965241;4,539407163;-3,934032912;-1,899730046;3,606750542;3,740791915;3,349525917;10,103898553;15,388504544
11,602006188;8,250793346;11,55464364;12,392965241;4,539407163;-3,934032912;-1,899730046;3,606750542;3,740791915;3,349525917;10,103898553
14,911994837;11,602006188;8,250793346;11,55464364;12,392965241;4,539407163;-3,934032912;-1,899730046;3,606750542;3,740791915;3,349525917
10,737545373;14,911994837;11,602006188;8,250793346;11,55464364;12,392965241;4,539407163;-3,934032912;-1,899730046;3,606750542;3,740791915
5,043838804;10,737545373;14,911994837;11,602006188;8,250793346;11,55464364;12,392965241;4,539407163;-3,934032912;-1,899730046;3,606750542
7,037575003;5,043838804;10,737545373;14,911994837;11,602006188;8,250793346;11,55464364;12,392965241;4,539407163;-3,934032912;-1,899730046
15,346901596;7,037575003;5,043838804;10,737545373;14,911994837;11,602006188;8,250793346;11,55464364;12,392965241;4,539407163;-3,934032912
18,617234623;15,346901596;7,037575003;5,043838804;10,737545373;14,911994837;11,602006188;8,250793346;11,55464364;12,392965241;4,539407163
16,271636128;18,617234623;15,346901596;7,037575003;5,043838804;10,737545373;14,911994837;11,602006188;8,250793346;11,55464364;12,392965241
16,790671728;16,271636128;18,617234623;15,346901596;7,037575003;5,043838804;10,737545373;14,911994837;11,602006188;8,250793346;11,55464364
21,01245264;16,790671728;16,271636128;18,617234623;15,346901596;7,037575003;5,043838804;10,737545373;14,911994837;11,602006188;8,250793346
21,32672343;21,01245264;16,790671728;16,271636128;18,617234623;15,346901596;7,037575003;5,043838804;10,737545373;14,911994837;11,602006188
16,893694001;21,32672343;21,01245264;16,790671728;16,271636128;18,617234623;15,346901596;7,037575003;5,043838804;10,737545373;14,911994837
13,042683165;16,893694001;21,32672343;21,01245264;16,790671728;16,271636128;18,617234623;15,346901596;7,037575003;5,043838804;10,737545373
13,93920731;13,042683165;16,893694001;21,32672343;21,01245264;16,790671728;16,271636128;18,617234623;15,346901596;7,037575003;5,043838804
13,812392388;13,93920731;13,042683165;16,893694001;21,32672343;21,01245264;16,790671728;16,271636128;18,617234623;15,346901596;7,037575003
10,168190293;13,812392388;13,93920731;13,042683165;16,893694001;21,32672343;21,01245264;16,790671728;16,271636128;18,617234623;15,346901596
9,683439964;10,168190293;13,812392388;13,93920731;13,042683165;16,893694001;21,32672343;21,01245264;16,790671728;16,271636128;18,617234623
12,135994475;9,683439964;10,168190293;13,812392388;13,93920731;13,042683165;16,893694001;21,32672343;21,01245264;16,790671728;16,271636128
11,520548887;12,135994475;9,683439964;10,168190293;13,812392388;13,93920731;13,042683165;16,893694001;21,32672343;21,01245264;16,790671728
8,442225759;11,520548887;12,135994475;9,683439964;10,168190293;13,812392388;13,93920731;13,042683165;16,893694001;21,32672343;21,01245264
11,841724105;8,442225759;11,520548887;12,135994475;9,683439964;10,168190293;13,812392388;13,93920731;13,042683165;16,893694001;21,32672343
16,088753097;11,841724105;8,442225759;11,520548887;12,135994475;9,683439964;10,168190293;13,812392388;13,93920731;13,042683165;16,893694001
12,805687699;16,088753097;11,841724105;8,442225759;11,520548887;12,135994475;9,683439964;10,168190293;13,812392388;13,93920731;13,042683165
9,815344306;12,805687699;16,088753097;11,841724105;8,442225759;11,520548887;12,135994475;9,683439964;10,168190293;13,812392388;13,93920731
11,173629532;9,815344306;12,805687699;16,088753097;11,841724105;8,442225759;11,520548887;12,135994475;9,683439964;10,168190293;13,812392388
11,436823644;11,173629532;9,815344306;12,805687699;16,088753097;11,841724105;8,442225759;11,520548887;12,135994475;9,683439964;10,168190293
5,544902965;11,436823644;11,173629532;9,815344306;12,805687699;16,088753097;11,841724105;8,442225759;11,520548887;12,135994475;9,683439964
1,440370569;5,544902965;11,436823644;11,173629532;9,815344306;12,805687699;16,088753097;11,841724105;8,442225759;11,520548887;12,135994475
2,346583682;1,440370569;5,544902965;11,436823644;11,173629532;9,815344306;12,805687699;16,088753097;11,841724105;8,442225759;11,520548887
0,133137191;2,346583682;1,440370569;5,544902965;11,436823644;11,173629532;9,815344306;12,805687699;16,088753097;11,841724105;8,442225759
-3,899110597;0,133137191;2,346583682;1,440370569;5,544902965;11,436823644;11,173629532;9,815344306;12,805687699;16,088753097;11,841724105
-3,918340813;-3,899110597;0,133137191;2,346583682;1,440370569;5,544902965;11,436823644;11,173629532;9,815344306;12,805687699;16,088753097
-0,884222845;-3,918340813;-3,899110597;0,133137191;2,346583682;1,440370569;5,544902965;11,436823644;11,173629532;9,815344306;12,805687699
-0,169755863;-0,884222845;-3,918340813;-3,899110597;0,133137191;2,346583682;1,440370569;5,544902965;11,436823644;11,173629532;9,815344306
-2,343361693;-0,169755863;-0,884222845;-3,918340813;-3,899110597;0,133137191;2,346583682;1,440370569;5,544902965;11,436823644;11,173629532
-7,643989497;-2,343361693;-0,169755863;-0,884222845;-3,918340813;-3,899110597;0,133137191;2,346583682;1,440370569;5,544902965;11,436823644
-11,077593208;-7,643989497;-2,343361693;-0,169755863;-0,884222845;-3,918340813;-3,899110597;0,133137191;2,346583682;1,440370569;5,544902965
-9,306606051;-11,077593208;-7,643989497;-2,343361693;-0,169755863;-0,884222845;-3,918340813;-3,899110597;0,133137191;2,346583682;1,440370569
-12,658110184;-9,306606051;-11,077593208;-7,643989497;-2,343361693;-0,169755863;-0,884222845;-3,918340813;-3,899110597;0,133137191;2,346583682
-16,737268786;-12,658110184;-9,306606051;-11,077593208;-7,643989497;-2,343361693;-0,169755863;-0,884222845;-3,918340813;-3,899110597;0,133137191
-14,69504404;-16,737268786;-12,658110184;-9,306606051;-11,077593208;-7,643989497;-2,343361693;-0,169755863;-0,884222845;-3,918340813;-3,899110597
-7,123102563;-14,69504404;-16,737268786;-12,658110184;-9,306606051;-11,077593208;-7,643989497;-2,343361693;-0,169755863;-0,884222845;-3,918340813
-2,868097689;-7,123102563;-14,69504404;-16,737268786;-12,658110184;-9,306606051;-11,077593208;-7,643989497;-2,343361693;-0,169755863;-0,884222845
-7,676988927;-2,868097689;-7,123102563;-14,69504404;-16,737268786;-12,658110184;-9,306606051;-11,077593208;-7,643989497;-2,343361693;-0,169755863
-8,506276228;-7,676988927;-2,868097689;-7,123102563;-14,69504404;-16,737268786;-12,658110184;-9,306606051;-11,077593208;-7,643989497;-2,343361693
-5,171712984;-8,506276228;-7,676988927;-2,868097689;-7,123102563;-14,69504404;-16,737268786;-12,658110184;-9,306606051;-11,077593208;-7,643989497
-9,333527619;-5,171712984;-8,506276228;-7,676988927;-2,868097689;-7,123102563;-14,69504404;-16,737268786;-12,658110184;-9,306606051;-11,077593208
-18,196392798;-9,333527619;-5,171712984;-8,506276228;-7,676988927;-2,868097689;-7,123102563;-14,69504404;-16,737268786;-12,658110184;-9,306606051
-19,375801195;-18,196392798;-9,333527619;-5,171712984;-8,506276228;-7,676988927;-2,868097689;-7,123102563;-14,69504404;-16,737268786;-12,658110184
-13,434395143;-19,375801195;-18,196392798;-9,333527619;-5,171712984;-8,506276228;-7,676988927;-2,868097689;-7,123102563;-14,69504404;-16,737268786
-10,895895251;-13,434395143;-19,375801195;-18,196392798;-9,333527619;-5,171712984;-8,506276228;-7,676988927;-2,868097689;-7,123102563;-14,69504404
-13,434525985;-10,895895251;-13,434395143;-19,375801195;-18,196392798;-9,333527619;-5,171712984;-8,506276228;-7,676988927;-2,868097689;-7,123102563
-12,618099196;-13,434525985;-10,895895251;-13,434395143;-19,375801195;-18,196392798;-9,333527619;-5,171712984;-8,506276228;-7,676988927;-2,868097689
-7,380412657;-12,618099196;-13,434525985;-10,895895251;-13,434395143;-19,375801195;-18,196392798;-9,333527619;-5,171712984;-8,506276228;-7,676988927
-7,228051426;-7,380412657;-12,618099196;-13,434525985;-10,895895251;-13,434395143;-19,375801195;-18,196392798;-9,333527619;-5,171712984;-8,506276228
-13,333429091;-7,228051426;-7,380412657;-12,618099196;-13,434525985;-10,895895251;-13,434395143;-19,375801195;-18,196392798;-9,333527619;-5,171712984
-14,986331562;-13,333429091;-7,228051426;-7,380412657;-12,618099196;-13,434525985;-10,895895251;-13,434395143;-19,375801195;-18,196392798;-9,333527619
-10,068079798;-14,986331562;-13,333429091;-7,228051426;-7,380412657;-12,618099196;-13,434525985;-10,895895251;-13,434395143;-19,375801195;-18,196392798
-7,985378472;-10,068079798;-14,986331562;-13,333429091;-7,228051426;-7,380412657;-12,618099196;-13,434525985;-10,895895251;-13,434395143;-19,375801195
-9,196690768;-7,985378472;-10,068079798;-14,986331562;-13,333429091;-7,228051426;-7,380412657;-12,618099196;-13,434525985;-10,895895251;-13,434395143
-5,425575789;-9,196690768;-7,985378472;-10,068079798;-14,986331562;-13,333429091;-7,228051426;-7,380412657;-12,618099196;-13,434525985;-10,895895251
3,714294066;-5,425575789;-9,196690768;-7,985378472;-10,068079798;-14,986331562;-13,333429091;-7,228051426;-7,380412657;-12,618099196;-13,434525985
1,258485279;3,714294066;-5,425575789;-9,196690768;-7,985378472;-10,068079798;-14,986331562;-13,333429091;-7,228051426;-7,380412657;-12,618099196
-11,875116656;1,258485279;3,714294066;-5,425575789;-9,196690768;-7,985378472;-10,068079798;-14,986331562;-13,333429091;-7,228051426;-7,380412657
-15,084471901;-11,875116656;1,258485279;3,714294066;-5,425575789;-9,196690768;-7,985378472;-10,068079798;-14,986331562;-13,333429091;-7,228051426
-8,917520652;-15,084471901;-11,875116656;1,258485279;3,714294066;-5,425575789;-9,196690768;-7,985378472;-10,068079798;-14,986331562;-13,333429091
-10,828672407;-8,917520652;-15,084471901;-11,875116656;1,258485279;3,714294066;-5,425575789;-9,196690768;-7,985378472;-10,068079798;-14,986331562
-19,709312625;-10,828672407;-8,917520652;-15,084471901;-11,875116656;1,258485279;3,714294066;-5,425575789;-9,196690768;-7,985378472;-10,068079798
-12,440823447;-19,709312625;-10,828672407;-8,917520652;-15,084471901;-11,875116656;1,258485279;3,714294066;-5,425575789;-9,196690768;-7,985378472
1,601286071;-12,440823447;-19,709312625;-10,828672407;-8,917520652;-15,084471901;-11,875116656;1,258485279;3,714294066;-5,425575789;-9,196690768
2,620088793;1,601286071;-12,440823447;-19,709312625;-10,828672407;-8,917520652;-15,084471901;-11,875116656;1,258485279;3,714294066;-5,425575789
-0,658676892999999;2,620088793;1,601286071;-12,440823447;-19,709312625;-10,828672407;-8,917520652;-15,084471901;-11,875116656;1,258485279;3,714294066
0,334368388000001;-0,658676892999999;2,620088793;1,601286071;-12,440823447;-19,709312625;-10,828672407;-8,917520652;-15,084471901;-11,875116656;1,258485279
0,315242325000001;0,334368388000001;-0,658676892999999;2,620088793;1,601286071;-12,440823447;-19,709312625;-10,828672407;-8,917520652;-15,084471901;-11,875116656
-4,823682821;0,315242325000001;0,334368388000001;-0,658676892999999;2,620088793;1,601286071;-12,440823447;-19,709312625;-10,828672407;-8,917520652;-15,084471901
-9,740821845;-4,823682821;0,315242325000001;0,334368388000001;-0,658676892999999;2,620088793;1,601286071;-12,440823447;-19,709312625;-10,828672407;-8,917520652
-11,661847287;-9,740821845;-4,823682821;0,315242325000001;0,334368388000001;-0,658676892999999;2,620088793;1,601286071;-12,440823447;-19,709312625;-10,828672407
-15,590779447;-11,661847287;-9,740821845;-4,823682821;0,315242325000001;0,334368388000001;-0,658676892999999;2,620088793;1,601286071;-12,440823447;-19,709312625
-17,924047056;-15,590779447;-11,661847287;-9,740821845;-4,823682821;0,315242325000001;0,334368388000001;-0,658676892999999;2,620088793;1,601286071;-12,440823447
-14,985591028;-17,924047056;-15,590779447;-11,661847287;-9,740821845;-4,823682821;0,315242325000001;0,334368388000001;-0,658676892999999;2,620088793;1,601286071
-12,199483111;-14,985591028;-17,924047056;-15,590779447;-11,661847287;-9,740821845;-4,823682821;0,315242325000001;0,334368388000001;-0,658676892999999;2,620088793
-8,706030628;-12,199483111;-14,985591028;-17,924047056;-15,590779447;-11,661847287;-9,740821845;-4,823682821;0,315242325000001;0,334368388000001;-0,658676892999999
-6,007204009;-8,706030628;-12,199483111;-14,985591028;-17,924047056;-15,590779447;-11,661847287;-9,740821845;-4,823682821;0,315242325000001;0,334368388000001
-6,646890084;-6,007204009;-8,706030628;-12,199483111;-14,985591028;-17,924047056;-15,590779447;-11,661847287;-9,740821845;-4,823682821;0,315242325000001
-7,465688384;-6,646890084;-6,007204009;-8,706030628;-12,199483111;-14,985591028;-17,924047056;-15,590779447;-11,661847287;-9,740821845;-4,823682821
-9,29329995;-7,465688384;-6,646890084;-6,007204009;-8,706030628;-12,199483111;-14,985591028;-17,924047056;-15,590779447;-11,661847287;-9,740821845
-12,47120106;-9,29329995;-7,465688384;-6,646890084;-6,007204009;-8,706030628;-12,199483111;-14,985591028;-17,924047056;-15,590779447;-11,661847287
-17,237310032;-12,47120106;-9,29329995;-7,465688384;-6,646890084;-6,007204009;-8,706030628;-12,199483111;-14,985591028;-17,924047056;-15,590779447
-18,59626158;-17,237310032;-12,47120106;-9,29329995;-7,465688384;-6,646890084;-6,007204009;-8,706030628;-12,199483111;-14,985591028;-17,924047056
-14,510947271;-18,59626158;-17,237310032;-12,47120106;-9,29329995;-7,465688384;-6,646890084;-6,007204009;-8,706030628;-12,199483111;-14,985591028
-10,805643042;-14,510947271;-18,59626158;-17,237310032;-12,47120106;-9,29329995;-7,465688384;-6,646890084;-6,007204009;-8,706030628;-12,199483111
-8,82769494;-10,805643042;-14,510947271;-18,59626158;-17,237310032;-12,47120106;-9,29329995;-7,465688384;-6,646890084;-6,007204009;-8,706030628
-5,773863472;-8,82769494;-10,805643042;-14,510947271;-18,59626158;-17,237310032;-12,47120106;-9,29329995;-7,465688384;-6,646890084;-6,007204009
-2,072413744;-5,773863472;-8,82769494;-10,805643042;-14,510947271;-18,59626158;-17,237310032;-12,47120106;-9,29329995;-7,465688384;-6,646890084
-1,781222784;-2,072413744;-5,773863472;-8,82769494;-10,805643042;-14,510947271;-18,59626158;-17,237310032;-12,47120106;-9,29329995;-7,465688384
-7,044629118;-1,781222784;-2,072413744;-5,773863472;-8,82769494;-10,805643042;-14,510947271;-18,59626158;-17,237310032;-12,47120106;-9,29329995
-10,974874286;-7,044629118;-1,781222784;-2,072413744;-5,773863472;-8,82769494;-10,805643042;-14,510947271;-18,59626158;-17,237310032;-12,47120106
-9,924170593;-10,974874286;-7,044629118;-1,781222784;-2,072413744;-5,773863472;-8,82769494;-10,805643042;-14,510947271;-18,59626158;-17,237310032
-14,050427987;-9,924170593;-10,974874286;-7,044629118;-1,781222784;-2,072413744;-5,773863472;-8,82769494;-10,805643042;-14,510947271;-18,59626158
-19,297777218;-14,050427987;-9,924170593;-10,974874286;-7,044629118;-1,781222784;-2,072413744;-5,773863472;-8,82769494;-10,805643042;-14,510947271
-16,98918406;-19,297777218;-14,050427987;-9,924170593;-10,974874286;-7,044629118;-1,781222784;-2,072413744;-5,773863472;-8,82769494;-10,805643042
-12,686436844;-16,98918406;-19,297777218;-14,050427987;-9,924170593;-10,974874286;-7,044629118;-1,781222784;-2,072413744;-5,773863472;-8,82769494
-12,631766572;-12,686436844;-16,98918406;-19,297777218;-14,050427987;-9,924170593;-10,974874286;-7,044629118;-1,781222784;-2,072413744;-5,773863472
-13,122686238;-12,631766572;-12,686436844;-16,98918406;-19,297777218;-14,050427987;-9,924170593;-10,974874286;-7,044629118;-1,781222784;-2,072413744
-6,676623909;-13,122686238;-12,631766572;-12,686436844;-16,98918406;-19,297777218;-14,050427987;-9,924170593;-10,974874286;-7,044629118;-1,781222784
-1,693213866;-6,676623909;-13,122686238;-12,631766572;-12,686436844;-16,98918406;-19,297777218;-14,050427987;-9,924170593;-10,974874286;-7,044629118
-4,872523093;-1,693213866;-6,676623909;-13,122686238;-12,631766572;-12,686436844;-16,98918406;-19,297777218;-14,050427987;-9,924170593;-10,974874286
-5,838629066;-4,872523093;-1,693213866;-6,676623909;-13,122686238;-12,631766572;-12,686436844;-16,98918406;-19,297777218;-14,050427987;-9,924170593
-0,442351305;-5,838629066;-4,872523093;-1,693213866;-6,676623909;-13,122686238;-12,631766572;-12,686436844;-16,98918406;-19,297777218;-14,050427987
3,527448328;-0,442351305;-5,838629066;-4,872523093;-1,693213866;-6,676623909;-13,122686238;-12,631766572;-12,686436844;-16,98918406;-19,297777218
-3,759004079;3,527448328;-0,442351305;-5,838629066;-4,872523093;-1,693213866;-6,676623909;-13,122686238;-12,631766572;-12,686436844;-16,98918406
-12,017682559;-3,759004079;3,527448328;-0,442351305;-5,838629066;-4,872523093;-1,693213866;-6,676623909;-13,122686238;-12,631766572;-12,686436844
-8,358181339;-12,017682559;-3,759004079;3,527448328;-0,442351305;-5,838629066;-4,872523093;-1,693213866;-6,676623909;-13,122686238;-12,631766572
-7,05113918;-8,358181339;-12,017682559;-3,759004079;3,527448328;-0,442351305;-5,838629066;-4,872523093;-1,693213866;-6,676623909;-13,122686238
-16,910292978;-7,05113918;-8,358181339;-12,017682559;-3,759004079;3,527448328;-0,442351305;-5,838629066;-4,872523093;-1,693213866;-6,676623909
-23,944085079;-16,910292978;-7,05113918;-8,358181339;-12,017682559;-3,759004079;3,527448328;-0,442351305;-5,838629066;-4,872523093;-1,693213866
-16,699995942;-23,944085079;-16,910292978;-7,05113918;-8,358181339;-12,017682559;-3,759004079;3,527448328;-0,442351305;-5,838629066;-4,872523093
-8,453579943;-16,699995942;-23,944085079;-16,910292978;-7,05113918;-8,358181339;-12,017682559;-3,759004079;3,527448328;-0,442351305;-5,838629066
-11,283672375;-8,453579943;-16,699995942;-23,944085079;-16,910292978;-7,05113918;-8,358181339;-12,017682559;-3,759004079;3,527448328;-0,442351305
-10,15962235;-11,283672375;-8,453579943;-16,699995942;-23,944085079;-16,910292978;-7,05113918;-8,358181339;-12,017682559;-3,759004079;3,527448328
-2,570158807;-10,15962235;-11,283672375;-8,453579943;-16,699995942;-23,944085079;-16,910292978;-7,05113918;-8,358181339;-12,017682559;-3,759004079
-4,512891864;-2,570158807;-10,15962235;-11,283672375;-8,453579943;-16,699995942;-23,944085079;-16,910292978;-7,05113918;-8,358181339;-12,017682559
-16,123230828;-4,512891864;-2,570158807;-10,15962235;-11,283672375;-8,453579943;-16,699995942;-23,944085079;-16,910292978;-7,05113918;-8,358181339
-23,487809537;-16,123230828;-4,512891864;-2,570158807;-10,15962235;-11,283672375;-8,453579943;-16,699995942;-23,944085079;-16,910292978;-7,05113918
-22,84680562;-23,487809537;-16,123230828;-4,512891864;-2,570158807;-10,15962235;-11,283672375;-8,453579943;-16,699995942;-23,944085079;-16,910292978
-26,566626945;-22,84680562;-23,487809537;-16,123230828;-4,512891864;-2,570158807;-10,15962235;-11,283672375;-8,453579943;-16,699995942;-23,944085079
-32,005937889;-26,566626945;-22,84680562;-23,487809537;-16,123230828;-4,512891864;-2,570158807;-10,15962235;-11,283672375;-8,453579943;-16,699995942
-29,698660752;-32,005937889;-26,566626945;-22,84680562;-23,487809537;-16,123230828;-4,512891864;-2,570158807;-10,15962235;-11,283672375;-8,453579943
-21,985768176;-29,698660752;-32,005937889;-26,566626945;-22,84680562;-23,487809537;-16,123230828;-4,512891864;-2,570158807;-10,15962235;-11,283672375
-17,839262487;-21,985768176;-29,698660752;-32,005937889;-26,566626945;-22,84680562;-23,487809537;-16,123230828;-4,512891864;-2,570158807;-10,15962235
-16,738890547;-17,839262487;-21,985768176;-29,698660752;-32,005937889;-26,566626945;-22,84680562;-23,487809537;-16,123230828;-4,512891864;-2,570158807
-10,022328176;-16,738890547;-17,839262487;-21,985768176;-29,698660752;-32,005937889;-26,566626945;-22,84680562;-23,487809537;-16,123230828;-4,512891864
-5,009089774;-10,022328176;-16,738890547;-17,839262487;-21,985768176;-29,698660752;-32,005937889;-26,566626945;-22,84680562;-23,487809537;-16,123230828
-5,996403437;-5,009089774;-10,022328176;-16,738890547;-17,839262487;-21,985768176;-29,698660752;-32,005937889;-26,566626945;-22,84680562;-23,487809537
-8,279464878;-5,996403437;-5,009089774;-10,022328176;-16,738890547;-17,839262487;-21,985768176;-29,698660752;-32,005937889;-26,566626945;-22,84680562
-8,846292033;-8,279464878;-5,996403437;-5,009089774;-10,022328176;-16,738890547;-17,839262487;-21,985768176;-29,698660752;-32,005937889;-26,566626945
-7,49700924;-8,846292033;-8,279464878;-5,996403437;-5,009089774;-10,022328176;-16,738890547;-17,839262487;-21,985768176;-29,698660752;-32,005937889
-8,436195396;-7,49700924;-8,846292033;-8,279464878;-5,996403437;-5,009089774;-10,022328176;-16,738890547;-17,839262487;-21,985768176;-29,698660752
-9,609191682;-8,436195396;-7,49700924;-8,846292033;-8,279464878;-5,996403437;-5,009089774;-10,022328176;-16,738890547;-17,839262487;-21,985768176
-5,408203731;-9,609191682;-8,436195396;-7,49700924;-8,846292033;-8,279464878;-5,996403437;-5,009089774;-10,022328176;-16,738890547;-17,839262487
0,80486273;-5,408203731;-9,609191682;-8,436195396;-7,49700924;-8,846292033;-8,279464878;-5,996403437;-5,009089774;-10,022328176;-16,738890547
2,604416422;0,80486273;-5,408203731;-9,609191682;-8,436195396;-7,49700924;-8,846292033;-8,279464878;-5,996403437;-5,009089774;-10,022328176
-1,385065375;2,604416422;0,80486273;-5,408203731;-9,609191682;-8,436195396;-7,49700924;-8,846292033;-8,279464878;-5,996403437;-5,009089774
-3,807665675;-1,385065375;2,604416422;0,80486273;-5,408203731;-9,609191682;-8,436195396;-7,49700924;-8,846292033;-8,279464878;-5,996403437
-3,831247242;-3,807665675;-1,385065375;2,604416422;0,80486273;-5,408203731;-9,609191682;-8,436195396;-7,49700924;-8,846292033;-8,279464878
-9,086338478;-3,831247242;-3,807665675;-1,385065375;2,604416422;0,80486273;-5,408203731;-9,609191682;-8,436195396;-7,49700924;-8,846292033
-14,929304891;-9,086338478;-3,831247242;-3,807665675;-1,385065375;2,604416422;0,80486273;-5,408203731;-9,609191682;-8,436195396;-7,49700924
-14,346466737;-14,929304891;-9,086338478;-3,831247242;-3,807665675;-1,385065375;2,604416422;0,80486273;-5,408203731;-9,609191682;-8,436195396
-8,389607141;-14,346466737;-14,929304891;-9,086338478;-3,831247242;-3,807665675;-1,385065375;2,604416422;0,80486273;-5,408203731;-9,609191682
-3,281014381;-8,389607141;-14,346466737;-14,929304891;-9,086338478;-3,831247242;-3,807665675;-1,385065375;2,604416422;0,80486273;-5,408203731
-2,585421577;-3,281014381;-8,389607141;-14,346466737;-14,929304891;-9,086338478;-3,831247242;-3,807665675;-1,385065375;2,604416422;0,80486273
-0,378105285;-2,585421577;-3,281014381;-8,389607141;-14,346466737;-14,929304891;-9,086338478;-3,831247242;-3,807665675;-1,385065375;2,604416422
6,686324513;-0,378105285;-2,585421577;-3,281014381;-8,389607141;-14,346466737;-14,929304891;-9,086338478;-3,831247242;-3,807665675;-1,385065375
9,856748866;6,686324513;-0,378105285;-2,585421577;-3,281014381;-8,389607141;-14,346466737;-14,929304891;-9,086338478;-3,831247242;-3,807665675
2,670185893;9,856748866;6,686324513;-0,378105285;-2,585421577;-3,281014381;-8,389607141;-14,346466737;-14,929304891;-9,086338478;-3,831247242
-4,242118628;2,670185893;9,856748866;6,686324513;-0,378105285;-2,585421577;-3,281014381;-8,389607141;-14,346466737;-14,929304891;-9,086338478
-0,256993732999999;-4,242118628;2,670185893;9,856748866;6,686324513;-0,378105285;-2,585421577;-3,281014381;-8,389607141;-14,346466737;-14,929304891
6,850127712;-0,256993732999999;-4,242118628;2,670185893;9,856748866;6,686324513;-0,378105285;-2,585421577;-3,281014381;-8,389607141;-14,346466737
3,256459948;6,850127712;-0,256993732999999;-4,242118628;2,670185893;9,856748866;6,686324513;-0,378105285;-2,585421577;-3,281014381;-8,389607141
1,232123078;3,256459948;6,850127712;-0,256993732999999;-4,242118628;2,670185893;9,856748866;6,686324513;-0,378105285;-2,585421577;-3,281014381
10,916357581;1,232123078;3,256459948;6,850127712;-0,256993732999999;-4,242118628;2,670185893;9,856748866;6,686324513;-0,378105285;-2,585421577
12,784535791;10,916357581;1,232123078;3,256459948;6,850127712;-0,256993732999999;-4,242118628;2,670185893;9,856748866;6,686324513;-0,378105285
2,843339312;12,784535791;10,916357581;1,232123078;3,256459948;6,850127712;-0,256993732999999;-4,242118628;2,670185893;9,856748866;6,686324513
-5,428165854;2,843339312;12,784535791;10,916357581;1,232123078;3,256459948;6,850127712;-0,256993732999999;-4,242118628;2,670185893;9,856748866
